Row ID,Bulan,Tahun,Total Day,LOCATION,Region,Position,Pemakaian,Baseline per day,Baseline,,Row ID,Bulan,TAHUN,Total Day,Area,Region,Position,REAL,Baseline per day,BATAS,,month,Realisasi,BASELINE,EFISIENSI kWh 2023,Persentase,,LOKASI,Total Pemakaian 2024,Total Pemakaian 2023,Total Baseline per lokasi 2023,,MONTH,REALISASI,BASELINE PERBULAN 2024,EFISIENSI kWh 2024,persentase,,BULAN,TEMPAT,DASAR,PENGGUNAAN,PENGHEMATAN,RANK
48,DECEMBER,2023,31,ER FTM,REGION 1,STATION ELEVATED,76151,2254,69874,,48,MARCH,2024,31,ER RSS,REGION 3,TAMAN SAMBAS,18080,-,18646,,,,,,,,,,,,,,,,,,,March,RSS,"18,693","18,080",3.30%,10
49,JANUARY,2023,31,ER CPR,REGION 1,STATION ELEVATED,69548,2477,76787,,49,APRIL,2024,30,ER WKS,REGION 1,DEPO,153650,-,157125,,,,,,,,,,,,,,,,,,,April,Workshop,"157,523","153,650",2.50%,7
50,FEBRUARY,2023,28,ER CPR,REGION 1,STATION ELEVATED,60988,2477,69356,,50,APRIL,2024,30,ER ADM,REGION 1,DEPO,180300,-,170551,,,,,,,,,,,,,,,,,,,April,Administrasi,"170,983","180,300",-5.40%,13
51,MARCH,2023,31,ER CPR,REGION 1,STATION ELEVATED,76508,2477,76787,,51,APRIL,2024,30,ER LBB,REGION 1,ELEVATED,58925,-,67094,,,,,,,,,,,,,,,,,,,April,Lebak Bulus,"64,532","58,925",8.70%,5
52,APRIL,2023,30,ER CPR,REGION 1,STATION ELEVATED,67578,2477,74310,,52,APRIL,2024,30,ER FTM,REGION 1,ELEVATED,74193,-,67611,,,,,,,,,,,,,,,,,,,April,Fatmawati ,"58,678","74,193",-26.40%,16
53,MAY,2023,31,ER CPR,REGION 1,STATION ELEVATED,68738,2477,76787,,53,APRIL,2024,30,ER CPR,REGION 1,ELEVATED,85273,-,74309,,,,,,,,,,,,,,,,,,,April,Cipete Raya,"82,332","85,273",-3.60%,12
54,JUNE,2023,30,ER CPR,REGION 1,STATION ELEVATED,67168,2477,74310,,54,APRIL,2024,30,ER HJN,REGION 2,ELEVATED,35659,-,42798,,,,,,,,,,,,,,,,,,,April,Haji Nawi ,"50,975","35,659",30.00%,1
55,JULY,2023,31,ER CPR,REGION 1,STATION ELEVATED,75948,2477,76787,,55,APRIL,2024,30,ER BLA,REGION 2,ELEVATED,33398,-,41698,,,,,,,,,,,,,,,,,,,April,Blok A,"38,396","33,398",13.00%,4
56,AUGUST,2023,31,ER CPR,REGION 1,STATION ELEVATED,74968,2477,76787,,56,APRIL,2024,30,ER BLM,REGION 2,ELEVATED,55283,-,59022,,,,,,,,,,,,,,,,,,,April,Blok M,"74,546","55,283",25.80%,2
57,SEPTEMBER,2023,30,ER CPR,REGION 1,STATION ELEVATED,72708,2477,74310,,57,APRIL,2024,30,ER ASN ,REGION 2,UNDERGROND,56620,-,66682,,,,,,,,,,,,,,,,,,,April,Asean,"67,763","56,620",16.40%,3
58,OCTOBER,2023,31,ER CPR,REGION 1,STATION ELEVATED,96811,2477,76787,,58,APRIL,2024,30,ER SNY,REGION 3,UNDERGROND,253649,-,252813,,,,,,,,,,,,,,,,,,,April,Senayan,"224,602","253,649",-12.90%,15
59,NOVEMBER,2023,30,ER CPR,REGION 1,STATION ELEVATED,90282,2477,74310,,59,APRIL,2024,30,ER IST,REGION 3,UNDERGROND,278864,-,287360,,,,,,,,,,,,,,,,,,,April,Istora,"280,594","278,864",0.60%,9
60,DECEMBER,2023,31,ER CPR,REGION 1,STATION ELEVATED,84301,2477,76787,,60,APRIL,2024,30,ER BNH,REGION 3,UNDERGROND,324843,-,310993,,,,,,,,,,,,,,,,,,,April,Bendungan Hilir,"323,415","324,843",-0.40%,10
61,JANUARY,2023,31,ER HJN,REGION 2,STATION ELEVATED,29008.9,1426.588083,44224.23058,,61,APRIL,2024,30,ER STB,REGION 3,UNDERGROND,290602,-,309190,,,,,,,,,,,,,,,,,,,April,Setiabudi,"304,681","290,602",4.60%,6
62,FEBRUARY,2023,28,ER HJN,REGION 2,STATION ELEVATED,25608.5,1426.588083,39944.46633,,62,APRIL,2024,30,ER DKA,REGION 3,UNDERGROND,558393,-,473184,,,,,,,,,,,,,,,,,,,April,Dukuh Atas,"494,769","558,393",-12.90%,14
63,MARCH,2023,31,ER HJN,REGION 2,STATION ELEVATED,27669.5,1426.588083,44224.23058,,63,APRIL,2024,30,ER BHI,REGION 3,UNDERGROND,476473,-,492128,,,,,,,,,,,,,,,,,,,April,Bundaram HI,"473,277","476,473",-0.70%,11
64,APRIL,2023,30,ER HJN,REGION 2,STATION ELEVATED,30225.2,1426.588083,42797.6425,,64,APRIL,2024,30,ER RSS,REGION 3,TAMAN SAMBAS,17670,-,18045,,,,,,,,,,,,,,,,,,,April,RSS,"18,090","17,670",2.30%,8
65,MAY,2023,31,ER HJN,REGION 2,STATION ELEVATED,37935.6,1426.588083,44224.23058,,65,MAY,2024,31,ER WKS,REGION 1,DEPO,155720,-,162363,,,,,,,,,,,,,,,,,,,May,Workshop,"162,774","155,720",4.30%,12
66,JUNE,2023,30,ER HJN,REGION 2,STATION ELEVATED,37621.4,1426.588083,42797.6425,,66,MAY,2024,31,ER ADM,REGION 1,DEPO,195700,-,176236,,,,,,,,,,,,,,,,,,,May,Administrasi,"176,683","195,700",-10.80%,16
67,JULY,2023,31,ER HJN,REGION 2,STATION ELEVATED,39144.4,1426.588083,44224.23058,,67,MAY,2024,31,ER LBB,REGION 1,ELEVATED,59251,-,69330,,,,,,,,,,,,,,,,,,,May,Lebak Bulus,"75,391","59,251",21.40%,4
68,AUGUST,2023,31,ER HJN,REGION 2,STATION ELEVATED,36479.5,1426.588083,44224.23058,,68,MAY,2024,31,ER FTM,REGION 1,ELEVATED,75430,-,69864,,,,,,,,,,,,,,,,,,,May,Fatmawati ,"77,369","75,430",2.50%,13
69,SEPTEMBER,2023,30,ER HJN,REGION 2,STATION ELEVATED,36950.3,1426.588083,42797.6425,,69,MAY,2024,31,ER CPR,REGION 1,ELEVATED,87920,-,76786,,,,,,,,,,,,,,,,,,,May,Cipete Raya,"84,275","87,920",-4.30%,15
70,OCTOBER,2023,31,ER HJN,REGION 2,STATION ELEVATED,69319.9,1426.588083,44224.23058,,70,MAY,2024,31,ER HJN,REGION 2,ELEVATED,36985,-,44224,,,,,,,,,,,,,,,,,,,May,Haji Nawi ,"44,879","36,985",17.60%,7
71,NOVEMBER,2023,30,ER HJN,REGION 2,STATION ELEVATED,63506.66667,1426.588083,42797.6425,,71,MAY,2024,31,ER BLA,REGION 2,ELEVATED,36226,-,43088,,,,,,,,,,,,,,,,,,,May,Blok A,"43,612","36,226",16.90%,8
72,DECEMBER,2023,31,ER HJN,REGION 2,STATION ELEVATED,64443.91429,1426.588083,44224.23058,,72,MAY,2024,31,ER BLM,REGION 2,ELEVATED,59618,-,60990,,,,,,,,,,,,,,,,,,,May,Blok M,"83,826","59,618",28.90%,2
